psid,Q8,Q10,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_5_TEXT,voting_flag
9urgGmlF1aWA1N87vv9TIQ**,Ontario Liberal Party,NA,Ontario Liberal Party,NA,NA,NA,NA,NA,NA,,Contradicting Voters
9urgGmlF1aXkAjUHJadkdg**,Ontario Liberal Party,NA,Ontario Liberal Party,NA,NA,NA,NA,NA,NA,,Contradicting Voters
9urgGmlF1aVNrJaVHejYrA**,Ontario Liberal Party,NA,Ontario Liberal Party,NA,NA,NA,NA,NA,NA,,Contradicting Voters
9urgGmlF1aXnccrolhdieg**,Ontario Liberal Party,NA,Ontario Liberal Party,NA,NA,NA,NA,NA,NA,,Contradicting Voters
9urgGmlF1aV1iGIIJHduMQ**,Ontario Liberal Party,NA,Ontario Liberal Party,NA,Ontario New Democratic Party,NA,NA,NA,NA,,Contradicting Voters
9urgGmlF1aWtNFTM0zTDKA**,Ontario Liberal Party,NA,Ontario Liberal Party,NA,NA,NA,NA,NA,NA,,Contradicting Voters
9urgGmlF1aV8INKN_CBl-g**,Ontario Liberal Party,NA,Ontario Liberal Party,NA,NA,NA,NA,NA,NA,,Contradicting Voters
9urgGmlF1aUA2REjkBNcCA**,Ontario Liberal Party,NA,Ontario Liberal Party,NA,NA,NA,NA,NA,NA,,Contradicting Voters
9urgGmlF1aVO1bXE5P25sg**,Ontario Liberal Party,NA,Ontario Liberal Party,NA,NA,NA,NA,NA,NA,,Contradicting Voters
9urgGmlF1aW0gf6tCZPzmg**,Ontario Liberal Party,NA,Ontario Liberal Party,Progressive Conservative Party of Ontario,Ontario New Democratic Party,Green Party of Ontario,NA,NA,NA,,Contradicting Voters
9urgGmlF1aV1qXGqE7f2kw**,Ontario Liberal Party,NA,Ontario Liberal Party,NA,NA,NA,NA,NA,NA,,Contradicting Voters
9urgGmlF1aUOLoemWOHZRg**,Ontario Liberal Party,NA,Ontario Liberal Party,NA,NA,NA,NA,NA,I could vote for any of the parties,,Contradicting Voters
9urgGmlF1aUNIvd14hfl_w**,Ontario Liberal Party,NA,Ontario Liberal Party,NA,NA,NA,NA,NA,NA,,Contradicting Voters
9urgGmlF1aWgwZqST8ICBw**,Ontario Liberal Party,NA,Ontario Liberal Party,NA,NA,NA,NA,NA,NA,,Contradicting Voters
9urgGmlF1aUYBbC4X1bbjg**,Ontario Liberal Party,NA,Ontario Liberal Party,NA,NA,NA,NA,NA,NA,,Contradicting Voters
9urgGmlF1aX3OedA8QUNuA**,Ontario Liberal Party,NA,Ontario Liberal Party,NA,NA,NA,NA,NA,NA,,Contradicting Voters
9urgGmlF1aVoPLuXmDGL6A**,Ontario Liberal Party,NA,Ontario Liberal Party,NA,NA,NA,NA,NA,NA,,Contradicting Voters
9urgGmlF1aX2yfgvjnOUeQ**,Ontario Liberal Party,NA,Ontario Liberal Party,NA,NA,NA,NA,NA,NA,,Contradicting Voters
9urgGmlF1aV_3AxDo5GpHA**,Ontario Liberal Party,NA,Ontario Liberal Party,NA,NA,NA,NA,NA,NA,,Contradicting Voters
9urgGmlF1aVrlvoc3ejjxA**,Ontario Liberal Party,NA,Ontario Liberal Party,NA,NA,NA,NA,NA,NA,,Contradicting Voters
9urgGmlF1aV5ROedEhLLzA**,Ontario Liberal Party,NA,Ontario Liberal Party,NA,NA,NA,NA,NA,NA,,Contradicting Voters
9urgGmlF1aUDF8CMOEaqzQ**,Ontario Liberal Party,NA,Ontario Liberal Party,NA,NA,NA,NA,NA,NA,,Contradicting Voters
9urgGmlF1aXbgMqRyeQLQw**,Ontario Liberal Party,NA,Ontario Liberal Party,NA,NA,NA,NA,NA,NA,,Contradicting Voters
9urgGmlF1aU3PWnNHjUmNQ**,Ontario Liberal Party,NA,Ontario Liberal Party,NA,NA,NA,NA,NA,NA,,Contradicting Voters
9urgGmlF1aXYQuXpCTYR0A**,Ontario Liberal Party,NA,Ontario Liberal Party,NA,NA,NA,NA,NA,NA,,Contradicting Voters
9urgGmlF1aUUdbKvNgVTpw**,Ontario Liberal Party,NA,Ontario Liberal Party,NA,Ontario New Democratic Party,NA,NA,NA,NA,,Contradicting Voters
9urgGmlF1aWlPlXDj2Do_A**,Ontario Liberal Party,NA,Ontario Liberal Party,NA,NA,NA,NA,NA,NA,,Contradicting Voters
9urgGmlF1aVntPnFWgq8Rg**,Ontario Liberal Party,NA,Ontario Liberal Party,Progressive Conservative Party of Ontario,NA,Green Party of Ontario,NA,NA,NA,,Contradicting Voters
9urgGmlF1aWTyDKNCP9L0Q**,Ontario Liberal Party,NA,Ontario Liberal Party,NA,NA,NA,NA,NA,NA,,Contradicting Voters
9urgGmlF1aWXUN4yPhYRqw**,Ontario Liberal Party,NA,Ontario Liberal Party,NA,NA,NA,NA,NA,NA,,Contradicting Voters
