"Year","Election Date","Election Type","Votes Cast","Party","Number of Candidates","Seats Won",
"2018","June 07, 2018","General Election","7833","Independent","27","0",
"2018","June 07, 2018","General Election","2326523","Progressive Conservative Party of Ontario","124","76",
"2018","June 07, 2018","General Election","264519","Green Party of Ontario","124","1",
"2018","June 07, 2018","General Election","1929966","New Democratic Party of Ontario","124","40",
"2018","June 07, 2018","General Election","1124346","Ontario Liberal Party","124","7",
"2018","June 07, 2018","General Election","2565","Freedom Party of Ontario","14","0",
"2018","June 07, 2018","General Election","1471","Communist Party of Canada (Ontario)","12","0",
"2018","June 07, 2018","General Election","386","Ontario Provincial Confederation of Regions Party","2","0",
"2018","June 07, 2018","General Election","42822","Ontario Libertarian Party","117","0",
"2018","June 07, 2018","General Election","631","Party For People with Special Needs","5","0",
"2018","June 07, 2018","General Election","393","No Affiliation","5","0",
"2018","June 07, 2018","General Election","112","Pauper Party of Ontario","2","0",
"2018","June 07, 2018","General Election","256","Go Vegan","2","0",
"2018","June 07, 2018","General Election","628","The Peoples Political Party","6","0",
"2018","June 07, 2018","General Election","5912","Northern Ontario Party","10","0",
"2018","June 07, 2018","General Election","1239","Canadians' Choice Party","5","0",
"2018","June 07, 2018","General Election","2199","Ontario Moderate Party","16","0",
"2018","June 07, 2018","General Election","8091","Trillium Party of Ontario","25","0",
"2018","June 07, 2018","General Election","16146","None of the Above Direct Democracy Party","42","0",
"2018","June 07, 2018","General Election","1078","Stop the New Sex-Ed Agenda","3","0",
"2018","June 07, 2018","General Election","215","Cultural Action Party of Ontario","3","0",
"2018","June 07, 2018","General Election","802","Ontario Alliance","3","0",
"2018","June 07, 2018","General Election","634","The New People's Choice Party of Ontario","3","0",
"2018","June 07, 2018","General Election","191","Multicultural Party of Ontario","2","0",
"2018","June 07, 2018","General Election","2682","Consensus Ontario","10","0",
"2018","June 07, 2018","General Election","321","Canadian Economic Party","3","0",
"2018","June 07, 2018","General Election","340","Stop Climate Change","2","0",
"2018","June 07, 2018","General Election","67","Ontario Social Reform Party","1","0",
"2018","June 07, 2018","General Election","2316","Ontario Party","5","0",
"2018","June 07, 2018","General Election","176","Party of Objective Truth","2","0",
