GeoUID_csd,Type_csd,Region Name_csd,Area (sq km)_csd,Population_csd,Dwellings_csd,Households_csd,CD_UID_csd,PR_UID_csd,CMA_UID_csd,total_occupied_private_dwellings_csd,single_detached_houses_csd,apartment_in_building_plus_5_csd,semi_detached_house_csd,row_house_csd,apartment_in_duplex_csd,apartment_in_building_less_5_csd,households_more_than_30_csd,median_shelter_costs_owned_csd,median_shelter_costs_rented_csd,single_detached_houses_pct_csd,semi_detached_house_pct_csd,row_house_pct_csd,apartment_in_duplex_pct_csd,apartment_in_building_less_5_pct_csd,apartment_in_building_plus_5_pct_csd,pop_density_csd
3501005,CSD,South Glengarry (TP),605.0159,13330,5848,5431,3501,35,,5430,5055,0,105,40,70,110,660,1010,850,0.930939226519337,0.019337016574585635,0.007366482504604052,0.01289134438305709,0.020257826887661142,0,22.032478815845998
3501007,CSD,Akwesasne (Part) 59 (IRI),11.8096,0,0,0,3501,35,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
3501011,CSD,South Stormont (TP),447.7113,13570,5583,5412,3501,35,35501,5415,4915,5,80,90,35,215,570,1020,1050,0.9076638965835642,0.014773776546629732,0.01662049861495845,0.006463527239150508,0.03970452446906741,9.233610341643582e-4,30.30971074440158
3501012,CSD,Cornwall (CY),61.5044,47845,22214,21386,3501,35,35501,21385,10480,1145,2190,1175,1780,4445,4705,900,880,0.4900631283610007,0.10240823006780454,0.054945054945054944,0.08323591302314706,0.2078559738134206,0.05354220247837269,777.9118241946918
3501020,CSD,South Dundas (MU),521.5418,11044,4821,4651,3501,35,,4650,3725,30,325,210,40,250,625,890,890,0.8010752688172043,0.06989247311827956,0.04516129032258064,0.008602150537634409,0.053763440860215055,0.0064516129032258064,21.175675660129258
3501030,CSD,North Dundas (TP),502.4055,11304,4673,4537,3501,35,,4540,3855,0,110,55,75,380,555,1270,950,0.8491189427312775,0.024229074889867842,0.012114537444933921,0.016519823788546256,0.08370044052863436,0,22.49975368502136
3501042,CSD,North Stormont (TP),515.464,7400,2949,2853,3501,35,,2855,2510,5,95,35,30,170,350,1120,950,0.8791593695271454,0.03327495621716287,0.012259194395796848,0.010507880910683012,0.0595446584938704,0.0017513134851138354,14.355997703040366
3501050,CSD,North Glengarry (TP),643.4009,10144,4714,4422,3501,35,,4420,3490,5,145,65,130,460,685,830,860,0.7895927601809954,0.032805429864253395,0.014705882352941176,0.029411764705882353,0.10407239819004525,0.0011312217194570137,15.76621978613956
3502001,CSD,East Hawkesbury (TP),235.0642,3418,1507,1425,3502,35,,1425,1310,0,25,0,15,25,235,1020,750,0.9192982456140351,0.017543859649122806,0,0.010526315789473684,0.017543859649122806,0,14.540708453265108
3502008,CSD,Hawkesbury (T),10.0965,10194,5308,5080,3502,35,502,5080,1820,0,685,260,815,1475,1105,870,810,0.35826771653543305,0.13484251968503938,0.051181102362204724,0.16043307086614172,0.2903543307086614,0,1009.6568117664536
3502010,CSD,Champlain (TP),207.0178,8665,3964,3750,3502,35,,3750,3090,0,180,25,95,335,470,910,800,0.824,0.048,0.006666666666666667,0.025333333333333333,0.08933333333333333,0,41.856304143894874
3502023,CSD,Alfred and Plantagenet (TP),391.7865,9949,4297,4080,3502,35,,4080,3025,0,425,90,90,385,675,1210,990,0.741421568627451,0.10416666666666667,0.022058823529411766,0.022058823529411766,0.09436274509803921,0,25.393932664857008
3502025,CSD,The Nation / La Nation (M),658.9268,13350,5259,5104,3502,35,,5105,4250,0,230,80,105,405,645,1420,1090,0.8325171400587659,0.04505386875612145,0.015670910871694418,0.02056807051909892,0.07933398628795299,0,20.26021706811743
3502036,CSD,Clarence-Rockland (C),297.4659,26505,10316,10095,3502,35,505,10095,7525,65,380,555,415,1030,1400,1560,1140,0.745418524021793,0.037642397226349676,0.0549777117384844,0.04110946012877662,0.1020307082714215,0.0064388311045071814,89.10265008527028
3502044,CSD,Casselman (VL),5.128,3960,1630,1578,3502,35,,1580,1050,5,100,75,165,185,245,1400,1010,0.6645569620253164,0.06329113924050633,0.04746835443037975,0.10443037974683544,0.11708860759493671,0.0031645569620253164,772.2308892355694
3502048,CSD,Russell (TP),198.7812,19598,7335,7226,3502,35,505,7225,5705,0,500,125,145,715,845,1740,1240,0.7896193771626298,0.06920415224913495,0.01730103806228374,0.020069204152249134,0.09896193771626298,0,98.5908124108316
