DA2021,total_occupied_private_dwellings_da,single_detached_houses_da,apartment_in_building_plus_5_da,semi_detached_house_da,row_house_da,apartment_in_duplex_da,apartment_in_building_less_5_da,households_more_than_30_da,median_shelter_costs_owned_da,median_shelter_costs_rented_da,single_detached_houses_pct_da,semi_detached_house_pct_da,row_house_pct_da,apartment_in_duplex_pct_da,apartment_in_building_less_5_pct_da,apartment_in_building_plus_5_pct_da,pop_density_da
35010155,190,190,0,0,0,0,0,15,650,NA,1,0,0,0,0,0,6.978644127325897
35010156,195,190,0,0,0,0,0,20,715,775,0.9743589743589743,0,0,0,0,0,8.367701789271823
35010157,205,195,0,0,0,5,0,25,750,NA,0.9512195121951219,0,0,0.024390243902439025,0,0,7.099292326898346
35010158,205,205,0,5,0,0,0,30,1070,NA,1,0.024390243902439025,0,0,0,0,12.69227514801244
35010159,210,200,0,0,0,0,0,35,740,NA,0.9523809523809523,0,0,0,0,0,14.801361836368585
35010160,200,185,0,5,0,0,0,30,740,NA,0.925,0.025,0,0,0,0,21.489463516651014
35010161,160,135,0,5,0,0,10,15,730,NA,0.84375,0.03125,0,0,0.0625,0,12.934903969599757
35010162,150,125,0,0,0,10,15,20,1080,NA,0.8333333333333334,0,0,0.06666666666666667,0.1,0,38.57465151881395
35010163,210,205,0,0,5,0,0,0,690,NA,0.9761904761904762,0,0.023809523809523808,0,0,0,21.394827316124033
35010164,180,175,0,0,0,0,0,20,795,NA,0.9722222222222222,0,0,0,0,0,11.769075055314653
35010165,170,165,0,0,0,0,5,0,680,NA,0.9705882352941176,0,0,0,0.029411764705882353,0,17.291289405429122
35010166,185,185,0,0,0,0,0,0,960,NA,1,0,0,0,0,0,17.39111841284662
35010167,180,175,0,0,0,0,0,0,810,NA,0.9722222222222222,0,0,0,0,0,11.72022972667204
35010168,155,150,0,5,0,0,0,0,1280,NA,0.967741935483871,0.03225806451612903,0,0,0,0,20.710630491455056
35010169,165,155,0,0,0,5,0,0,990,NA,0.9393939393939394,0,0,0.030303030303030304,0,0,42.01274869615608
35010170,185,185,0,0,0,0,0,15,1090,NA,1,0,0,0,0,0,19.329444014901245
35010171,185,185,0,5,0,0,0,20,1110,NA,1,0.02702702702702703,0,0,0,0,28.20371137818299
35010172,405,355,0,20,0,15,20,50,1180,1290,0.8765432098765432,0.04938271604938271,0,0.037037037037037035,0.04938271604938271,0,229.96030070107273
35010173,355,345,0,0,0,0,5,80,1140,1340,0.971830985915493,0,0,0,0.014084507042253521,0,60.665174052152835
35010174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
35010175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
35010176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
35010177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
35010178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
35010179,235,230,0,0,0,0,0,25,1190,NA,0.9787234042553191,0,0,0,0,0,92.92042239366718
35010180,465,255,20,125,50,10,5,80,1010,1070,0.5483870967741935,0.26881720430107525,0.10752688172043011,0.021505376344086023,0.010752688172043012,0.043010752688172046,737.8841248633547
35010181,145,55,0,80,5,0,0,20,665,1410,0.3793103448275862,0.5517241379310345,0.034482758620689655,0,0,0,239.65274805893503
35010182,185,170,0,5,0,10,0,20,870,NA,0.918918918918919,0.02702702702702703,0,0.05405405405405406,0,0,2825.1121076233185
35010183,245,35,0,35,145,5,20,50,1170,735,0.14285714285714285,0.14285714285714285,0.5918367346938775,0.02040816326530612,0.08163265306122448,0,4725.138974675726
35010184,170,165,0,0,0,10,0,0,680,NA,0.9705882352941176,0,0,0.058823529411764705,0,0,1468.1647940074906
35010185,420,170,235,0,0,5,5,110,695,1100,0.40476190476190477,0,0,0.011904761904761904,0.011904761904761904,0.5595238095238095,2789.95756718529
35010186,285,105,0,40,55,10,75,25,645,436,0.3684210526315789,0.14035087719298245,0.19298245614035087,0.03508771929824561,0.2631578947368421,0,2253.9797395079595
35010187,300,85,40,25,5,55,95,100,830,990,0.2833333333333333,0.08333333333333333,0.016666666666666666,0.18333333333333332,0.31666666666666665,0.13333333333333333,1129.4627961294627
35010188,195,120,0,10,5,35,30,75,880,820,0.6153846153846154,0.05128205128205128,0.02564102564102564,0.1794871794871795,0.15384615384615385,0,3492.1875
35010189,170,160,0,0,0,10,0,20,810,NA,0.9411764705882353,0,0,0.058823529411764705,0,0,3090.5077262693158
35010190,185,105,0,10,0,30,40,25,1060,910,0.5675675675675675,0.05405405405405406,0,0.16216216216216217,0.21621621621621623,0,4007.2202166064985
35010191,200,85,0,5,0,40,70,45,795,970,0.425,0.025,0,0.2,0.35,0,3881.5789473684213
35010192,215,105,0,10,0,65,35,45,960,810,0.4883720930232558,0.046511627906976744,0,0.3023255813953488,0.16279069767441862,0,2281.6032887975334
35010193,170,40,0,25,0,35,70,55,1030,800,0.23529411764705882,0.14705882352941177,0,0.20588235294117646,0.4117647058823529,0,5719.298245614035
35010194,185,60,0,15,5,55,50,65,650,830,0.32432432432432434,0.08108108108108109,0.02702702702702703,0.2972972972972973,0.2702702702702703,0,7900
35010195,200,55,5,25,0,35,75,75,1040,800,0.275,0.125,0,0.175,0.375,0.025,6954.314720812183
35010196,185,40,0,35,5,20,80,65,NA,770,0.21621621621621623,0.1891891891891892,0.02702702702702703,0.10810810810810811,0.43243243243243246,0,7931.034482758621
35010197,205,35,0,15,0,40,100,75,870,725,0.17073170731707318,0.07317073170731707,0,0.1951219512195122,0.4878048780487805,0,3633.0608537693006
35010198,240,20,165,15,0,5,35,60,980,592,0.08333333333333333,0.0625,0,0.020833333333333332,0.14583333333333334,0.6875,6406.25
35010199,235,40,0,25,5,45,110,70,660,800,0.1702127659574468,0.10638297872340426,0.02127659574468085,0.19148936170212766,0.46808510638297873,0,5465.768799102132
35010200,195,70,0,40,0,10,75,65,990,800,0.358974358974359,0.20512820512820512,0,0.05128205128205128,0.38461538461538464,0,485.4368932038835
35010201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
35010202,200,40,0,20,25,30,90,60,580,740,0.2,0.1,0.125,0.15,0.45,0,5443.4589800443455
35010203,305,75,0,25,5,35,165,100,665,850,0.2459016393442623,0.08196721311475409,0.01639344262295082,0.11475409836065574,0.5409836065573771,0,3888.140161725067
35010204,300,45,190,10,0,20,35,95,790,940,0.15,0.03333333333333333,0,0.06666666666666667,0.11666666666666667,0.6333333333333333,5069.075451647183
35010205,135,65,0,10,10,10,45,30,970,890,0.48148148148148145,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.3333333333333333,0,2814.6853146853146
35010206,215,95,0,15,5,25,70,60,1160,1040,0.4418604651162791,0.06976744186046512,0.023255813953488372,0.11627906976744186,0.32558139534883723,0,2693.2223543400714
35010207,105,75,0,0,0,25,0,0,1220,NA,0.7142857142857143,0,0,0.23809523809523808,0,0,1275.4158964879853
35010208,210,85,0,35,0,15,65,40,910,830,0.40476190476190477,0.16666666666666666,0,0.07142857142857142,0.30952380952380953,0,3060.1092896174864
35010209,205,100,0,15,0,60,30,75,830,800,0.4878048780487805,0.07317073170731707,0,0.2926829268292683,0.14634146341463414,0,4629.430719656283
