StartDate,EndDate,Progress,Duration__in_seconds_,Finished,RecordedDate,DistributionChannel,UserLanguage,Consent2,Q1,Q2,Q3,Q4_1,Q5_1,Q6a,Q6b,Q6b_5_TEXT,Q7,Q8,Q8_5_TEXT,Q9,Q9_5_TEXT,Q10,Q10_5_TEXT,Q11,Q11_5_TEXT,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_5_TEXT,Q13_1,Q13_2,Q13_3,Q13_4,Q14_1,Q14_2,Q14_3,Q14_4,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q16,Q17,Q18,Q19,Q20,Q21,Q22a_1,Q22a_2,Q22a_3,Q22b,Q23,Q23_5_TEXT,Q24,Q25,Q26,Q27,Q27_4_TEXT,Q28,Q29,Q30,Q31_1,Q31_2,Q31_3,Q31_4,Q31_5,Q31_6,Q32_1,Q32_2,Q32_3,Q32_4,Q32_5,Q32_6,Q32_7,Q32_8,Q32_9,Q33a_1,Q33a_2,Q33a_3,Q33a_4,Q33a_5,Q33a_6,Q80_1,Q80_2,Q80_3,Q80_4,Q80_5,Q80_6,Q34_1,Q34_2,Q34_3,Q34_4,Q34_5,Q35_1,Q35_2,Q35_3,Q35_4,Q35_5,Q35_6,Q35a,Q35b,Q35c,Q35d,Q35e,Q35f,Q35g,Q35h,Q35i,Q35j,Q35k,Q35l,Q36,Q36_7_TEXT,Q38,Q38_4_TEXT,Q39,Q40,Q40_12_TEXT,Q41,Q42,Q43,Q44,Q45,Q46,Q48,Social,Private,Public,Control,yob,gender,FSA,PR,FED2013,CSD,PCtype,FEDENAME,CSDNAME,CSDTYPE,LANDAREA,pop_2021,pop_density,geo_good
2022-05-19T16:18:28Z,2022-05-19T16:35:04Z,100,995,1,2022-05-19T16:35:04Z,anonymous,EN,1,3,3,Earnings/tax ratio fairness,8,9,1,1,,2,2,,NA,,NA,,NA,,1,NA,1,NA,NA,NA,NA,,52,73,17,25,89,11,3,4,3,3,1,3,3,3,3,2,3,3,2,3,3,1,1,1,1,3,,2,2,2,2,,2,1000,3,9,2,1,1,1,1,2,2,2,3,2,1,4,1,1,4,4,4,1,5,1,2,1,5,9,2,6,75,50,25,75,75,1,1,1,1,11,11,In the Beach,,".. it's quant, beautiful and OVERCROWDED ALREADY 😡",,Same,,Same. NO I FRACTRU TURE TO SUPPORT POP,,,It's the Beach ... family area..I loved a backyard growing up,,Loved in one,1,,2,,6,4,,1,20000,NA,6,2,1,1,NA,NA,NA,1,1958,2,M4E,35,35007,3520005,1,Beaches--East York,Toronto,C,631.0983,2794356,4427.766641108049,1
2022-05-26T13:50:10Z,2022-05-26T14:04:46Z,100,875,1,2022-05-26T14:04:46Z,anonymous,EN,1,2,2,Cost of living,7,7,1,1,,1,1,,NA,,NA,,NA,,NA,NA,1,1,1,NA,NA,New blue,71,52,12,5,68,52,6,3,1,3,1,3,1,1,3,3,3,2,3,1,3,2,2,2,2,1,,2,2,1,1,,2,2500,1,11,8,5,2,1,1,9,11,6,8,7,8,6,11,7,5,1,10,7,1,1,4,9,10,5,11,11,25,50,25,NA,100,8,7,8,7,10,10,,Economically cheaper to build,,"Economical, more rooms for less area",,"Economical, creates variety",,"Economical, creates variety",,Not many aviailable,,Not many available,2,,1,,7,1,,2,125000,NA,2,2,2,2,NA,NA,NA,1,1997,1,L3V,35,35100,3543052,1,Simcoe North,Orillia,CY,28.5294,33411,1171.1076994258556,1
2022-05-19T16:58:07Z,2022-05-19T17:18:50Z,100,1242,1,2022-05-19T17:18:50Z,anonymous,EN,1,2,2,inflation prices,7,7,1,2,,1,2,,NA,,NA,,NA,,1,NA,NA,1,NA,NA,NA,,49,80,9,34,86,10,19,22,3,3,4,3,3,3,3,1,2,1,2,1,2,2,2,2,2,3,,2,1,2,1,,1,2500,2,10,6,4,2,1,1,9,6,8,10,9,5,9,9,7,11,11,11,10,11,12,6,7,11,10,11,11,0,0,0,0,100,9,11,10,11,8,9,,it will give more people to live within a small space,,it will give more people affordable place to live,,it will give more people affordable place to live,,it will give more people affordable place to live,,it will give more people a chance to own a home,,it will give more people a chance to own a home,3,,1,,7,1,,3,60000,NA,1,1,5,6,NA,NA,NA,1,1979,1,N7M,35,35017,3536020,1,Chatham-Kent--Leamington,Chatham-Kent,MU,2451.9038,103988,42.411125591468966,1
2022-05-21T07:02:13Z,2022-05-21T07:11:40Z,100,567,1,2022-05-21T07:11:40Z,anonymous,EN,1,4,4,affordable housing for seniors,0,0,2,NA,,4,NA,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,1,,NA,NA,62,NA,4,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,6,,NA,2,4,2,,2,842,2,7,1,1,1,1,1,12,12,12,12,12,12,11,11,11,9,11,12,9,11,10,12,12,11,11,11,11,0,0,0,50,50,11,11,11,11,1,1,,already live in one,,not much more than six,,why not?,,again why not?,need single units for seniors,,need single units for seniors,,6,,2,,5,1,,1,45000,NA,6,1,1,1,1,NA,NA,NA,1960,2,N2L,35,35112,3530016,1,Waterloo,Waterloo,CY,64.056,121436,1895.7786936430623,1
2022-05-19T17:11:37Z,2022-05-19T17:23:02Z,100,684,1,2022-05-19T17:23:02Z,anonymous,EN,1,3,3,Economy,10,10,1,3,,1,3,,NA,,NA,,NA,,NA,NA,1,NA,NA,NA,NA,,0,0,100,0,0,0,83,0,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,2,,1,2,2,2,,2,1100,2,11,7,1,1,1,1,11,1,1,9,8,5,8,8,11,11,11,11,11,11,11,11,4,11,11,11,11,100,0,0,0,0,6,9,9,8,8,8,,,,Don't answer,,Don't answer,,Don't answer,,Don't answer,,Don't answer,3,,2,,11,3,,1,59000,NA,2,2,2,1,1,NA,NA,NA,1987,2,M6N,35,35018,3520005,1,Davenport,Toronto,C,631.0983,2794356,4427.766641108049,1
2022-05-19T15:57:12Z,2022-05-19T16:18:11Z,100,1258,1,2022-05-19T16:18:11Z,anonymous,EN,1,3,3,Housing,9,10,1,3,,1,3,,NA,,NA,,NA,,1,1,NA,NA,NA,NA,NA,,7,10,80,16,7,35,82,37,2,2,4,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,,2,2,2,4,,2,1800,3,11,8,4,2,1,1,4,3,3,3,4,7,11,7,11,10,8,11,8,8,6,3,9,9,8,6,9,0,50,0,75,75,11,11,4,3,10,9,,It’s needed in the city,,It’s needed condo aren’t affordable,Again condos aren’t affordable,,Unless its affordable rentals its not needed,,,Families need  homes,,We need homes of all kinds,2,,2,,4,5,,1,35000,NA,6,1,2,6,NA,NA,NA,1,1967,2,N9A,35,35117,3537039,1,Windsor West,Windsor,CY,146.0197,229660,1572.8014781567144,1
2022-05-20T17:09:01Z,2022-05-20T17:21:07Z,100,726,1,2022-05-20T17:21:08Z,anonymous,EN,1,2,2,taxes,0,0,1,3,,2,3,,NA,,NA,,NA,,NA,1,NA,NA,NA,NA,NA,,62,30,66,48,16,56,54,NA,2,2,4,2,1,2,2,2,2,2,2,2,2,3,3,3,3,2,,3,1,5,1,,1,2300,2,11,10,9,8,7,5,3,5,5,4,3,6,3,3,4,6,5,11,5,7,6,6,7,8,2,8,12,75,75,50,75,75,1,1,1,1,11,9,I live in the country - this is not feasible,,I live in the country - this is not feasible,,I live in the country - this is not feasible,,I live in the country - this is not feasible,,,It would match the neighbourhood,,It would match the neighbourhood,1,,2,,7,1,,3,90000,NA,1,1,2,1,NA,1,NA,NA,1987,2,L0R,35,35068,3526021,2,Niagara West,West Lincoln,TP,387.0155,15454,39.9312172251499,1
2022-05-26T08:45:40Z,2022-05-26T08:53:41Z,100,480,1,2022-05-26T08:53:41Z,anonymous,EN,1,2,2,RENT,6,6,1,4,,2,4,,NA,,NA,,NA,,NA,1,NA,NA,NA,NA,NA,,49,18,62,87,0,42,59,57,2,2,4,2,2,2,2,3,3,2,2,3,3,2,2,2,2,2,,2,2,4,2,,2,4500,3,6,1,1,1,1,1,11,7,4,11,4,10,11,3,5,11,10,10,7,10,8,6,6,9,6,5,10,0,25,25,50,100,11,11,8,3,9,9,,Because its not too much,,Its not a big condo owned by someone is Saudi Arabia,,Its not huge,Because it is often owned by a millionaire,,,it can fit more people,,fit more people,1,,2,,6,2,,1,15000,NA,4,2,5,1,1,NA,NA,NA,1992,2,M5T,35,35110,3520005,1,University--Rosedale,Toronto,C,631.0983,2794356,4427.766641108049,1
2022-05-26T09:40:44Z,2022-05-26T09:46:23Z,100,338,1,2022-05-26T09:46:23Z,anonymous,EN,1,3,3,Cost of rent being able to qualify for a mortgage,7,8,2,NA,,2,6,,NA,,NA,,2,,NA,NA,NA,NA,NA,1,NA,,56,81,55,56,69,53,40,50,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,,2,1,2,2,,2,3500,2,10,9,9,9,9,5,7,7,5,7,6,7,6,6,8,5,8,7,8,7,7,8,7,9,6,8,7,25,25,25,NA,25,6,6,6,6,8,8,,,,,,,,,,Good area,,Good area,6,,2,,6,7,,NA,70000,NA,2,1,5,2,NA,1,NA,NA,1988,2,L9T,35,35057,3524009,1,Milton,Milton,T,363.8308,132979,365.4968188509604,1
2022-05-26T09:35:45Z,2022-05-26T09:51:23Z,100,938,1,2022-05-26T09:51:24Z,anonymous,EN,1,1,2,Housing prices,0,0,2,NA,,3,NA,,6,,NA,,7,,NA,NA,NA,NA,NA,NA,1,,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,3,3,3,3,2,3,4,4,4,4,6,,NA,2,2,2,,2,3000,2,11,9,4,1,1,1,11,11,11,11,11,11,11,11,11,7,7,6,7,7,5,5,10,9,11,11,11,25,25,50,25,0,6,5,4,4,9,9,,,Because I prefer houses,,I prefer houses with yards,,I prefer houses with yards,,,I support houses with yards and your own space,,I enjoy. My own space and backyard.,3,,2,,5,2,,1,30000,NA,6,1,3,1,NA,NA,1,NA,1995,2,L2N,35,35089,3526053,1,St. Catharines,St. Catharines,CY,96.1956,136803,1422.1336526826592,1
