ResponseId,Q32_1,Q32_2,Q32_3,Q32_4,Q32_5,Q32_6,Q32_7,Q32_8,Q32_9
R_cC5bgcEMjzaeLC1,10,10,10,10,10,10,10,10,10
R_2rAySbdSOlCWB1z,8,8,8,8,8,8,8,8,8
R_3j6WnGuBSFVgb9a,0,0,0,0,0,0,0,0,0
R_1jq49WHMSbVNNTL,10,10,10,10,10,10,10,10,10
R_XiWKTrs8e7MeMr7,0,0,0,0,0,0,0,0,0
R_1GTcsAM4EyvgIuI,11,11,11,11,11,11,11,11,11
R_3hxSHzdUe3Zwn8J,11,11,11,11,11,11,11,11,11
R_pxFtSBcEZ12R9MB,0,0,0,0,0,0,0,0,0
R_28BvK1DmgIiF2ct,7,7,7,7,7,7,7,7,7
R_0ADK8MFthhE6Tbb,11,11,11,11,11,11,11,11,11
R_3MmX2wGzINBZcJE,5,5,5,5,5,5,5,5,5
R_0px9Lw7a6BSOYVj,10,10,10,10,10,10,10,10,10
R_22nt2CxcP2aKHWy,11,11,11,11,11,11,11,11,11
R_siBSD4R2EeG4QVz,11,11,11,11,11,11,11,11,11
R_3GlIFR2NQ4hGRy4,5,5,5,5,5,5,5,5,5
R_OIktR1ubUoqxy3D,6,6,6,6,6,6,6,6,6
R_1ptdZYSBBljtfxW,10,10,10,10,10,10,10,10,10
R_PFX9m8XIHui3oFH,10,10,10,10,10,10,10,10,10
R_1QMmkL1r5EwsvXh,9,9,9,9,9,9,9,9,9
R_2TTTsRJMlLbmxiF,5,5,5,5,5,5,5,5,5
R_OPUgT2xEipIV60h,10,10,10,10,10,10,10,10,10
R_3P4sYIcAyPNGZf7,10,10,10,10,10,10,10,10,10
R_3nHNLSYceDDUa7y,10,10,10,10,10,10,10,10,10
R_29aCGsZJ8p7mJBY,5,5,5,5,5,5,5,5,5
R_2sbyN81Awi1ZX6B,5,5,5,5,5,5,5,5,5
R_tQHpLbMUCxuVWcV,5,5,5,5,5,5,5,5,5
R_3HHPSeYjqx2ZM4h,6,6,6,6,6,6,6,6,6
R_3GcWfOzt1mYGvEj,10,10,10,10,10,10,10,10,10
R_2v5NtM6P4M1MPV5,11,11,11,11,11,11,11,11,11
R_2YYbLwpqFAJX9nV,10,10,10,10,10,10,10,10,10
R_33ruUSLcNFuED24,8,8,8,8,8,8,8,8,8
R_r1HU4JkYEs3UEsF,11,11,11,11,11,11,11,11,11
R_xmZ0OCiFTbvqzJf,0,0,0,0,0,0,0,0,0
R_OflVBQDaWSaGVr3,11,11,11,11,11,11,11,11,11
R_11d6JA4bOGQD9SH,11,11,11,11,11,11,11,11,11
R_1CKF07R3QCSJEur,11,11,11,11,11,11,11,11,11
R_2qw7B6E4kwfpo6D,10,10,10,10,10,10,10,10,10
R_sp9pkImlyRy50Wt,11,11,11,11,11,11,11,11,11
R_2EiOTFtZMEM45Y6,11,11,11,11,11,11,11,11,11
R_3j0ROy7kp6q5fPt,11,11,11,11,11,11,11,11,11
R_6mPZzrzROcHa6PL,8,8,8,8,8,NA,8,8,8
R_1Kg3j2BC5z2t5sG,5,5,5,5,5,5,5,5,5
R_2fm61tuz8mP8yeY,10,10,10,10,10,10,10,10,10
R_1hW0wVVU7V4FUOU,11,11,11,11,11,11,11,11,11
R_116CnPl3nHn03u3,10,10,10,10,10,10,10,10,10
R_331mw1OPxnDzmpW,5,5,5,5,5,5,5,5,5
R_2aR14CRw5iCTezI,11,11,11,11,11,11,11,11,11
R_1jm6frNaYPIp3o1,11,11,11,11,11,11,11,11,11
R_1qeTaRJoaYoMAkS,10,10,10,10,10,10,10,10,10
R_1K8E3u489W786tn,11,11,11,11,11,11,11,11,11
R_wO7iKZLwqcZO4db,11,11,11,11,11,11,11,11,11
R_rfF4fKR4xcJXMNH,11,11,11,11,11,11,11,11,11
R_2rAEP8RVblhH3EQ,10,10,10,10,10,10,10,10,10
R_2PjtMtjCHk9nY4a,10,10,10,10,10,10,10,10,10
R_3Ed9zvNRLUehtVn,11,11,11,11,11,11,11,11,11
R_b9spSnT9KRp9N0l,0,0,0,0,0,0,0,0,0
R_2eOI3h7hJqum8qY,11,11,11,11,11,11,11,11,11
R_2Toa7luiynqQirs,11,11,11,11,11,11,11,11,11
R_29glCrtCRt1j9oL,NA,10,10,10,10,10,10,10,10
R_1Kqlz6a0nyMi1hK,10,10,10,10,10,10,10,10,10
R_0IgWnRwPtedqFVf,5,5,5,5,5,5,5,5,5
R_1NfAYf1a4zP8wuW,7,7,7,7,7,7,7,7,7
R_UEnRrw9nX35BMYN,10,10,10,10,10,10,10,10,10
R_3rMQ77R5rsTzlOL,5,5,5,5,5,5,5,5,5
R_2dF6RMspY5FlvqH,11,11,11,11,11,11,11,11,11
R_3eqNgghk24yKOQv,11,11,11,11,11,11,11,11,11
R_323KWSARbvg0rgI,11,11,11,11,11,11,11,11,11
R_VJwkov2egD6TABP,11,11,11,11,11,11,11,11,11
R_2y1IfbxKqvT3Dxp,11,11,11,11,11,11,11,11,11
R_2YVxYF3IIml2HEW,11,11,11,11,11,11,11,11,11
R_1OqnzPHCEvCz5Vn,11,NA,11,11,11,11,11,11,11
R_UYoFi49zraG7cwF,11,11,11,11,11,11,11,11,11
R_VX7UtUEFADmgIhP,11,11,11,11,11,11,11,11,11
R_2VOzMuqlGo0KxOb,11,11,11,11,11,11,11,11,11
R_1rGlGbL6neYQ7GX,11,11,11,11,11,11,11,11,11
R_DM1GsUScBomMl0d,5,5,5,5,5,5,5,5,5
R_3kp756Ws2WXJYAV,11,11,11,11,11,11,11,11,11
R_BxnA7X90DhveGMp,0,0,0,0,0,0,0,0,0
R_2us8SZooohW0FoG,11,11,11,11,11,11,11,11,11
R_1Itpi4TnpPOiPDd,11,11,11,11,11,11,11,11,11
R_3JlomJcuhpSyYTG,11,11,11,11,11,11,11,11,11
R_2PgUedsy6yzqAxG,10,10,10,10,10,10,10,10,10
R_2ro97pAKdnWQxjN,11,11,11,11,11,11,11,11,11
R_2Ck8hLRyfzUGVvR,11,11,11,11,11,11,11,11,11
