Experimental_Group,Development,n,Average,sd,se
Control,6 Storey rental building,404,0.6324257425742574,0.3001456336847877,0.014932803399775391
Control,15 Storey rental tower,404,0.5435643564356436,0.32403040067656014,0.016121114971591067
Control,6 Storey condominium building,404,0.6074626865671642,0.292881513411994,0.014571399908495987
Control,15 Storey condominium Tower,404,0.5240694789081886,0.32344740533260496,0.016092109869143334
Control,Single detached house,404,0.699002493765586,0.2624861948632072,0.013059176290279868
Control,Semi-detached house,404,0.7012468827930175,0.24834138075743384,0.012355445486087302
Individual,6 Storey rental building,418,0.607673860911271,0.2922699771297965,0.014295391863958925
Individual,15 Storey rental tower,418,0.5327751196172249,0.304565503545995,0.014896785719117563
Individual,6 Storey condominium building,418,0.5755980861244019,0.29727418924866417,0.014540155879449356
Individual,15 Storey condominium Tower,418,0.5139423076923076,0.3113094559862725,0.015226643215232722
Individual,Single detached house,418,0.7074162679425837,0.24043829667276728,0.011760221504084163
Individual,Semi-detached house,418,0.7188995215311005,0.22896228093486845,0.01119891122643848
Community,6 Storey rental building,414,0.6497584541062802,0.27483200171312505,0.013507255982183067
Community,15 Storey rental tower,414,0.5573849878934625,0.31076938577233276,0.015273482050442867
Community,6 Storey condominium building,414,0.6094202898550725,0.2793682811058753,0.013730201951293815
Community,15 Storey condominium Tower,414,0.5205314009661836,0.316516615324891,0.015555942973009674
Community,Single detached house,414,0.7101941747572815,0.2558188249657556,0.012572809324732747
Community,Semi-detached house,414,0.7130750605326877,0.23269941168146874,0.011436552151469824
National,6 Storey rental building,426,0.6174117647058823,0.3017681891048241,0.014620716535398056
National,15 Storey rental tower,426,0.559433962264151,0.31224900710365505,0.015128513826671776
National,6 Storey condominium building,426,0.6073113207547169,0.2938588736145873,0.014237508947763244
National,15 Storey condominium Tower,426,0.5214117647058824,0.31456451231573324,0.015240700420767259
National,Single detached house,426,0.6910798122065728,0.2669483461221972,0.012933689630520365
National,Semi-detached house,426,0.695764705882353,0.23926172055136333,0.011592268238511906
